,Name,Total Population,Public Use Microdata Area,Year
0,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",132179,00104,2012
1,"Rock Island County PUMA, Illinois",147504,00105,2012
2,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",180417,00202,2012
3,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",112582,00300,2012
4,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",143980,00401,2012
5,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",141872,00501,2012
6,"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",103148,00600,2012
7,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",109351,00700,2012
8,"South & Southeast Illinois PUMA, Illinois",141099,00800,2012
9,"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",188132,00900,2012
10,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",159275,01001,2012
11,"St. Clair County (Central & Northeast) PUMA, Illinois",150502,01104,2012
12,"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",118371,01105,2012
13,"Madison County (East) PUMA, Illinois",120735,01204,2012
14,"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",147851,01205,2012
15,"Sangamon County--Springfield City PUMA, Illinois",197474,01300,2012
16,"Macon County--Decatur City PUMA, Illinois",110558,01500,2012
17,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",148212,01602,2012
18,"Peoria County--Peoria City PUMA, Illinois",186399,01701,2012
19,"Tazewell County PUMA, Illinois",135201,01900,2012
20,"McLean County PUMA, Illinois",169689,02000,2012
21,"Champaign County--Champaign & Urbana Cities PUMA, Illinois",200931,02100,2012
22,"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",164100,02200,2012
23,"Kankakee County PUMA, Illinois",113170,02300,2012
24,"LaSalle County PUMA, Illinois",113688,02400,2012
25,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",150750,02501,2012
26,"DeKalb County PUMA, Illinois",104820,02601,2012
27,"Stephenson & Ogle Counties PUMA, Illinois",100910,02700,2012
28,"Winnebago County (Southeast & West)--Rockford City PUMA, Illinois",203931,02801,2012
29,"Winnebago (Northeast) & Boone Counties PUMA, Illinois",144643,02901,2012
30,"Kane County (Southeast)--Aurora Township PUMA, Illinois",145900,03005,2012
31,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",116478,03007,2012
32,"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",139220,03008,2012
33,"Kane County (West) PUMA, Illinois",113293,03009,2012
34,"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",134195,03102,2012
35,"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",139417,03105,2012
36,"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",168899,03106,2012
37,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",123354,03107,2012
38,"Will County (South) PUMA, Illinois",111804,03108,2012
39,"DuPage County (Central)--Milton Township PUMA, Illinois",117379,03202,2012
40,"DuPage County (South Central)--Lisle Township PUMA, Illinois",116640,03203,2012
41,"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",147211,03204,2012
42,"DuPage County (East Central)--York Township PUMA, Illinois",123891,03205,2012
43,"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",116307,03207,2012
44,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",177597,03208,2012
45,"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",119583,03209,2012
46,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",158429,03306,2012
47,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",141075,03307,2012
48,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",113235,03308,2012
49,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",154463,03309,2012
50,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",134194,03310,2012
51,"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",126768,03401,2012
52,"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",178278,03407,2012
53,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",191913,03408,2012
54,"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",152204,03409,2012
55,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",172751,03410,2012
56,"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",173264,03411,2012
57,"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",109928,03412,2012
58,"Cook County (Southeast)--Thornton Township PUMA, Illinois",169592,03413,2012
