,Public Use Area,Community,"Community 
Number",Total Population,Year
0,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Rogers Park,1.0,167887.0,2012.0
1,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Rogers Park,1.0,167162.0,2013.0
2,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Rogers Park,1.0,164391.0,2014.0
3,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Rogers Park,1.0,164412.0,2015.0
4,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",West Ridge,2.0,145745.0,2012.0
5,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",West Ridge,2.0,146506.0,2013.0
6,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",West Ridge,2.0,147381.0,2014.0
7,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",West Ridge,2.0,147595.0,2015.0
8,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Uptown,3.0,167887.0,2012.0
9,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Uptown,3.0,167162.0,2013.0
10,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Uptown,3.0,164391.0,2014.0
11,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",Uptown,3.0,164412.0,2015.0
12,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",Lincoln Square,4.0,145745.0,2012.0
13,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",Lincoln Square,4.0,146506.0,2013.0
14,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",Lincoln Square,4.0,147381.0,2014.0
15,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",Lincoln Square,4.0,147595.0,2015.0
16,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",North Center,5.0,145745.0,2012.0
17,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",North Center,5.0,146506.0,2013.0
18,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",North Center,5.0,147381.0,2014.0
19,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",North Center,5.0,147595.0,2015.0
20,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",Lake View,6.0,161170.0,2012.0
21,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",Lake View,6.0,162430.0,2013.0
22,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",Lake View,6.0,163919.0,2014.0
23,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",Lake View,6.0,165171.0,2015.0
24,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",Lincoln Park,7.0,161170.0,2012.0
